classify_model/cariver,classify_model/flpalmbeach,classify_model/flsaintlucie,classify_model/codenver4all,classify_model/fl7all,classify_model/castate,classify_model/mistate,classify_model/njstate,classify_model/ohstate,classify_model/pastate,classify_model/instate,classify_model/mdstate,classify_model/txstate,classify_model/ncstate,classify_model/orstate,classify_model/set1,classify_model/set2,classify_model/set3,classify_model/set4,classify_model/set5
,,,,,,,,,,,,tx red river,,,mn crow wing,,al perry,ks osborne,wi polk
,,,,,,,,,,,,tx reeves,,,mn dakota,,al pickens,ks ottawa,wi portage
,,,,,,,,,,,,tx refugio,,,mn dodge,,al pike,ks pawnee,wi price
,,,,,,,,,,,,tx roberts,,,mn douglas,,al randolph,ks phillips,wi racine
,,,,,,,,,,,,tx robertson,,,mn faribault,,al russell,ks pottawatomie,wi richland
,,,,,,,,,,,,tx rockwall,,,mn fillmore,,al shelby,ks pratt,wi rock
,,,,,,,,,,,,tx runnels,,,mn freeborn,,al saint clair,ks rawlins,wi rusk
,,,,,,,,,,,,tx rusk,,,mn goodhue,,al sumter,ks reno,wi sauk
,,,,,,,,,,,,tx sabine,,,mn grant,,al talladega,ks republic,wi sawyer
,,,,,,,,,,,,tx san augustine,,,mn hennepin,,al tallapoosa,ks rice,wi shawano
,,,,,,,,,,,,tx san jacinto,,,mn houston,,al tuscaloosa,ks riley,wi sheboygan
,,,,,,,,,,,,tx san patricio,,,mn hubbard,,al walker,ks rooks,wi saint croix
,,,,,,,,,,,,tx san saba,,,mn isanti,,al washington,ks rush,wi taylor
,,,,,,,,,,,,tx schleicher,,,mn itasca,,al wilcox,ks russell,wi trempealeau
,,,,,,,,,,,,tx scurry,,,mn jackson,,al winston,ks saline,wi vernon
,,,,,,,,,,,,tx shackelford,,,mn kanabec,,ar arkansas,ks scott,wi vilas
,,,,,,,,,,,,tx shelby,,,mn kandiyohi,,ar ashley,ks sedgwick,wi walworth
,,,,,,,,,,,,tx sherman,,,mn kittson,,ar baxter,ks seward,wi washburn
